Category,ComponentId,ProcessName,ShapeName,ShapeType,Configuration
Migrate,3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,Start,start,noaction:None
Migrate,3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,fetch file,connectoraction,connectoraction:{@actionType: Get, @allowDynamicCredentials: NONE, @connectionId: 417ab127-fd02-4326-86ff-00d5ef3cd12e, @connectorType: ftp, @hideSettings: false, @operationId: 08466147-4f3a-46e4-acf8-f7dd0ee32274, @parameter-profile: EMBEDDED|ftpparameterchooser|08466147-4f3a-46e4-acf8-f7dd0ee32274, parameters: None, dynamicProperties: None}
Adapt,3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,map csv to xml format,map,map:{@mapId: 0b1e409c-fdd7-4c3c-a0b6-f5feafb5a325}
Migrate,3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,Send mail ,connectoraction,connectoraction:{@actionType: Send, @allowDynamicCredentials: NONE, @connectionId: ad392d5f-e9f9-4928-8b48-72cf41121728, @connectorType: mail, @hideSettings: false, @operationId: 8c34dce0-d799-42dc-9c4a-04e9fcfac997, parameters: None, dynamicProperties: None}
Migrate,3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,null,stop,stop:{@continue: true}
Migrate,c370e1d8-9409-42de-90f5-ea98d2c2b10e,Transaction details replication to SAP ERP,Get file,start,connectoraction:{@actionType: Get, @allowDynamicCredentials: NONE, @connectionId: 6bc6cb2c-8c7b-41a6-8742-ce44fb402f83, @connectorType: sftp, @hideSettings: false, @operationId: 72172345-f24b-4798-bd2d-49b4c1c6a0a1, @parameter-profile: EMBEDDED|sftpparameterchooser|72172345-f24b-4798-bd2d-49b4c1c6a0a1, parameters: None, dynamicProperties: None}
Adapt,c370e1d8-9409-42de-90f5-ea98d2c2b10e,Transaction details replication to SAP ERP, File empty,decision,decision:{@comparison: equals, @name:  File empty, decisionvalue: [{@valueType: static, staticparameter: {@staticproperty: employeedir.csv}}, {@valueType: static, staticparameter: {@staticproperty: empty.csv}}]}
Migrate,c370e1d8-9409-42de-90f5-ea98d2c2b10e,Transaction details replication to SAP ERP,Send file return,processcall,processcall:{@abort: true, @processId: 657b8afd-f93e-4611-8eea-2241ab573414, @wait: true, parameters: None, returnpaths: None}
Migrate,c370e1d8-9409-42de-90f5-ea98d2c2b10e,Transaction details replication to SAP ERP,Send file ,processcall,processcall:{@abort: true, @processId: da06ca48-156b-40da-8a33-cef09f4f4a66, @wait: true, parameters: None, returnpaths: None}