ComponentId,ProcessName,Category
3cec161a-07a1-4b39-95ed-f69acba4ad71,Invoice Posting,Adapt
c370e1d8-9409-42de-90f5-ea98d2c2b10e,Transaction details replication to SAP ERP,Adapt
